id,video_id,user_id,comment,created_at,updated_at,deleted_at
1501,1,USR0043,Have they next those constantly.,2024-04-02 06:26:39.948,2024-06-18 12:11:26.250,
1502,1,USR0018,Which trip myself that some.,2024-02-23 19:26:14.916,2024-06-18 12:11:26.258,
1503,1,USR0023,Whose whomever these mine why.,2024-05-15 16:03:19.458,2024-06-18 12:11:26.263,
1504,1,USR0039,What been yearly could number.,2024-03-05 11:19:29.583,2024-06-18 12:11:26.268,
1505,1,USR0046,Other firstly of their horror.,2024-02-06 20:36:44.365,2024-06-18 12:11:26.272,
1506,1,USR0048,Sandwich sheaf in fork it.,2024-04-28 23:19:37.855,2024-06-18 12:11:26.276,
1507,1,USR0037,Hmm most that cast whichever.,2024-05-04 23:46:34.587,2024-06-18 12:11:26.281,
1508,1,USR0045,Win under that art poverty.,2024-04-26 11:01:18.168,2024-06-18 12:11:26.285,
1509,1,USR0018,So then as switch through.,2024-01-19 10:28:43.309,2024-06-18 12:11:26.289,
1510,1,USR0021,Mine these generously yours of.,2024-01-17 04:18:13.565,2024-06-18 12:11:26.293,
1511,1,USR0010,Over where which many her.,2024-02-13 16:55:06.055,2024-06-18 12:11:26.298,
1512,1,USR0019,Whoa already now lead consequence.,2024-01-21 19:58:22.817,2024-06-18 12:11:26.301,
1513,1,USR0030,Eye play frankly under goal.,2024-01-03 21:29:27.438,2024-06-18 12:11:26.305,
1514,1,USR0025,Monthly today riches me where.,2024-02-22 02:31:20.901,2024-06-18 12:11:26.309,
1515,1,USR0008,Am this bill onto friendship.,2024-01-28 16:03:03.874,2024-06-18 12:11:26.313,
1516,1,USR0035,Wicked traffic beauty say road.,2024-06-04 02:07:18.637,2024-06-18 12:11:26.318,
1517,1,USR0028,I now murder she open.,2024-01-20 17:54:24.091,2024-06-18 12:11:26.322,
1518,1,USR0035,Boat harvest I forget you.,2024-01-06 20:08:09.235,2024-06-18 12:11:26.327,
1519,1,USR0002,These outside dynasty daily e.g..,2024-02-05 15:33:00.449,2024-06-18 12:11:26.333,
1520,1,USR0013,Your his generally something including.,2024-06-18 12:07:27.665,2024-06-18 12:11:26.338,
1521,1,USR0042,Kreatif,2024-06-13 21:30:57.746,2024-06-18 12:11:26.341,
1522,1,USR0038,Kreatif,2024-06-11 23:54:55.460,2024-06-18 12:11:26.346,
1523,1,USR0004,Kreatif,2024-01-31 03:14:22.447,2024-06-18 12:11:26.351,
1524,1,USR0023,Bermanfaat,2024-05-29 00:46:59.656,2024-06-18 12:11:26.355,
1525,1,USR0047,Bermanfaat,2024-03-31 13:00:32.291,2024-06-18 12:11:26.360,
1526,1,USR0004,Bermanfaat,2024-04-07 23:05:27.678,2024-06-18 12:11:26.364,
1527,1,USR0045,Sangat Bermanfaat,2024-01-10 00:31:52.890,2024-06-18 12:11:26.368,
1528,1,USR0024,Sangat Bermanfaat,2024-05-27 10:59:26.486,2024-06-18 12:11:26.372,
1529,1,USR0013,Sangat Bermanfaat,2024-02-02 00:51:36.097,2024-06-18 12:11:26.377,
1530,1,USR0003,Sangat Bermanfaat,2024-01-10 02:39:30.794,2024-06-18 12:11:26.380,
1531,2,USR0049,Nice Video,2024-03-26 15:22:27.401,2024-06-18 12:11:26.385,
1532,2,USR0037,Luar Biasa,2024-02-13 15:25:11.528,2024-06-18 12:11:26.389,
1533,2,USR0017,Luar Biasa,2024-01-26 10:46:32.171,2024-06-18 12:11:26.393,
1534,2,USR0036,Luar Biasa,2024-04-04 15:28:20.297,2024-06-18 12:11:26.398,
1535,2,USR0044,Menakjubkan,2024-02-23 02:13:09.915,2024-06-18 12:11:26.403,
1536,2,USR0041,Menakjubkan,2024-03-31 20:14:12.941,2024-06-18 12:11:26.407,
1537,2,USR0032,Menakjubkan,2024-06-07 05:26:33.499,2024-06-18 12:11:26.411,
1538,2,USR0016,Menarik,2024-04-10 21:29:21.410,2024-06-18 12:11:26.415,
1539,2,USR0037,Menarik,2024-04-07 02:27:54.935,2024-06-18 12:11:26.419,
1540,2,USR0011,Konten yang bagus,2024-03-22 20:25:19.170,2024-06-18 12:11:26.423,
1541,2,USR0014,Konten yang bagus,2024-02-26 11:24:13.258,2024-06-18 12:11:26.427,
1542,2,USR0038,Konten yang bagus,2024-02-18 07:21:28.439,2024-06-18 12:11:26.431,
