id,type,created_at,updated_at,deleted_at
e2750ead-b915-48c5-9ce6-f0ffb6edaaee,plastik,1998-10-04 02:46:10,2006-08-30 18:29:11,2024-02-28 20:30:56
8ef461d0-0fde-4008-8d38-e07852f09c51,baterai,1982-02-05 12:49:06,2019-11-09 11:11:45,2024-03-14 20:53:45
5ff4f9d2-1de8-4c12-a0cc-db53455ca114,limbah berbahaya,1986-07-30 01:58:36,2010-08-11 12:15:46,2024-02-15 15:48:55
68a84666-f083-47f1-bb3d-cae21cff9e18,baterai,2021-09-30 14:44:59,2021-08-10 11:49:17,2024-05-19 21:53:17
1b177bb5-6d37-46bf-900f-68deb8b9ce81,kaca,1991-05-31 17:48:21,1976-06-12 22:20:43,2024-03-23 12:33:18
111e9563-e124-4435-b4cc-da99e6b343a1,limbah beracun,1973-11-21 13:29:04,2022-10-19 15:52:30,2024-01-14 09:23:16
e3c9bb9f-5dee-4620-a867-31ffb1ebd545,limbah beracun,2004-02-08 06:06:30,2003-05-16 16:21:42,2024-03-15 15:00:42
844593a4-7020-40c4-bb28-7af9eec88deb,limbah berbahaya,2020-10-17 04:37:19,1986-05-04 21:07:55,2024-05-14 22:10:02
9c4f18ef-d791-4cea-9e6d-359089c66a1f,baterai,2000-06-27 21:14:44,1981-05-31 21:52:49,2024-03-07 22:49:16
2a25f8b7-754d-4e21-ba4c-8c6346f31187,sisa makanan,2001-09-21 03:21:48,2019-05-28 16:43:34,2024-02-01 16:01:08
22d94bb0-4cc6-4d0b-be98-4ee570b2d6f0,plastik,1984-06-25 15:53:36,1991-02-05 09:06:13,2024-05-06 22:53:28
8953f933-91df-4bc3-b3d4-7a82e1dcd9d4,baterai,1990-08-25 19:44:34,1971-09-14 19:15:44,2024-03-15 03:54:54
cb72092a-6751-499a-a380-5c21fd796dea,limbah berbahaya,2017-10-22 15:43:34,1989-12-10 04:13:55,2024-05-05 11:46:03
b9575c14-04c4-496d-9ef9-ad9dfdac7e50,besi,2008-07-05 01:41:12,1985-09-21 01:03:52,2024-02-24 23:46:00
