id,users_id,reports_id,waste_materials_id,location_reports_id,count_reporting
71,7943,50f47513-35ec-488c-a8a4-6b352f5bd171,b883a2c7-2c7a-4886-885a-c05684ae81ae,3528,62
6873,2547,778957a9-4358-4053-bcb7-324a5812cd04,6cbfa5d9-50f4-471a-b418-b57ec30631eb,3640,77
7890,9150,bfdab206-5bc8-4205-9608-1d755b6c3c8e,2af5b8d4-ec79-469d-a5b7-f9f83f955311,2052,92
3951,4073,0e880107-5fec-4784-b6f6-46b75de5ae40,e56a41fb-536b-4090-8859-b208ded5b256,9945,86
5316,2143,a9bfa978-884c-453f-b03e-a3e69d80d78f,19673747-7ca3-4662-8e8a-333a98f53769,3704,61
2381,3117,f2db6e53-2be0-4414-a67a-859eccd26bb0,27f3bbcf-7afa-443c-b900-3afe70c1844e,361,72
116,4230,3bf75e0f-e278-4d45-b517-91dabf38e090,1cbad275-df65-4be4-a0d4-6d75b3b44779,5893,89
4571,4424,3db03d0e-da7c-471a-9098-73db8ee2b461,c5552351-d890-476d-affa-9d4406522539,4100,3
8679,6006,a016ec52-92b2-4101-9320-dcef563384a3,7221525d-a29b-470e-aabd-b9d909f70a7e,9945,53
5571,9320,59eae925-c293-4e79-bfba-7a11cb5111fe,c5552351-d890-476d-affa-9d4406522539,8243,2
9025,8332,06348844-57c2-4086-96ab-7bcbb1c12e81,dbff810d-3d7f-45b8-8e83-69c52fe0af7d,3154,5
5665,8790,2692615b-2a96-4a92-afa9-816edefee6b9,db2665b3-210e-450d-8f32-1cc4757ac2b9,4431,82
8523,1387,50f47513-35ec-488c-a8a4-6b352f5bd171,2ae0b5ff-b28c-4b97-8182-125cc6a2f9eb,7322,79
6504,3950,f5cc405e-4f54-4264-b8d9-41d311b36c64,ca2441b4-3a0a-41cd-bcd1-73e7c81d3db4,7490,39
1178,6574,7ab09be8-e7e7-4aaf-8a3f-c92904c17cf3,2af5b8d4-ec79-469d-a5b7-f9f83f955311,6739,66
6675,9106,9665855c-548e-4821-ad7c-c40c3895a8cf,1d748e5c-65b9-4415-9129-0ea4084d0b28,9887,94
3985,4846,f1c3932c-357d-4672-adc3-4aee9225aef0,dcf63c50-a04d-4075-95f2-ccb4bceb6a97,7708,96
5286,9756,eae01d91-cd86-4711-8e5e-019dd3fbcac5,c028f697-9466-40a1-960c-ee8137f9567a,2466,26
6655,3109,65887c8c-75b6-4990-99a1-2bb60896c30c,f2f7275e-ee88-4714-8980-e545c58a662c,4147,80
8858,4427,445aed24-d18f-4128-b47b-fcfbb2925d9f,c5552351-d890-476d-affa-9d4406522539,4595,47
4388,3691,38b0b84b-442c-436f-987d-b4ddd525f1a4,fcc00dbd-5789-4b8b-8b16-57509012b3bc,5449,77
6396,826,9d3a8f5e-aceb-4b76-8126-413bcc567770,823d2de7-350b-47b6-a914-199e6cee4c46,970,26
4322,6738,0372a0f8-d40c-43e2-8360-df8af0455489,dbff810d-3d7f-45b8-8e83-69c52fe0af7d,8093,36
9456,1289,e62010bf-8386-4bd3-ac94-3f1d16ef85e7,3fbf403d-0839-4c77-b372-b81f958d3f6c,5459,78
3311,8607,861f8269-cd85-4108-ba5b-cc275e54ba56,72362ebd-2721-41a1-9ce8-a9edce1d4015,2295,23
898,585,5633fc75-3a90-40ba-8160-cc234db41637,a426319a-0344-462c-a461-c6cd653eef00,1854,9
2802,207,cfc448ce-462b-44f8-b04e-7282b1e55b9c,98ad2081-9685-40b2-8ef9-54135bc144cd,6886,19
9241,8569,6c698957-b754-4d57-9a77-837589dc3acc,9f7fe14a-e3db-4091-9ea0-013eac4e506f,6862,22
3929,5578,26914c90-984a-461e-bd26-6ac534cc9526,510daff6-ab99-4c2c-8d72-898683f05148,6378,62
